review_id,sentence_id,text,category,polarity,target,from_num,to_num
1300636,1448587:3,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",AMBIENCE#GENERAL,neutral,decor,decor,9
1227999,1572033:2,This place is always packed.,AMBIENCE#GENERAL,neutral,place,place,10
493013,1349391:2,it is not consistent.,RESTAURANT#GENERAL,negative,,,0
496132,740923:4,No thanks!!!,RESTAURANT#GENERAL,negative,,,0
475298,1661757:3,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",SERVICE#GENERAL,neutral,,,0
1338124,555734:2,It was pretty inexpensive too.,RESTAURANT#PRICES,positive,,,0
1280179,558423:4,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",AMBIENCE#GENERAL,neutral,decor,decor,73
1500453,709294:5,Staff is very accomodating.,SERVICE#GENERAL,positive,Staff,Staff,5
1125006,1710746:2,My son and his girlfriend both wanted cheeseburgers and they were huge!,FOOD#STYLE_OPTIONS,neutral,cheeseburgers,cheeseburgers,51
1275154,1543345:2,Get the pepperoni - YUM - and a family style salad.,FOOD#QUALITY,positive,pepperoni,pepperoni,17
1212346,615180:2,It just wasn't Thai.,FOOD#QUALITY,negative,,,0
561054,1241906:0,"Great service, great food.",SERVICE#GENERAL,positive,service,service,13
1126886,1147082:1,Sauce was watery and the food didn't have much flavor.,FOOD#QUALITY,negative,food,food,29
1603698,1353599:4,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,RESTAURANT#MISCELLANEOUS,neutral,place,place,21
426930,1349391:2,it is not consistent.,RESTAURANT#GENERAL,negative,,,0
561054,1432551:0,Go to Volare for 1st class service and terrific food.,FOOD#QUALITY,positive,food,food,52
1748839,535171:0,What a great place!,RESTAURANT#GENERAL,positive,place,place,18
1123262,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",AMBIENCE#GENERAL,neutral,,,0
759781,485767:2,The flavors robust and subtle.,FOOD#QUALITY,positive,,,0
1349391,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",LOCATION#GENERAL,positive,neighborhood,neighborhood,86
1058221,1632445:6,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,FOOD#PRICES,negative,lobster sandwich,lobster sandwich,20
1230993,1367358:3,"Ambience is delightful, service impeccable.",SERVICE#GENERAL,positive,service,service,31
1328078,1586174:2,not sure why this restaurant would be rated that highly.,RESTAURANT#GENERAL,negative,restaurant,restaurant,28
444818,493514:0,I cannot imagine a friendlier staff working in a restaurant.,SERVICE#GENERAL,positive,staff,staff,35
1145510,632121:4,"If only they delivered, they'd make a mint!",RESTAURANT#MISCELLANEOUS,neutral,,,0
1486041,1572033:1,Decor is nice though service can be spotty.,SERVICE#GENERAL,negative,service,service,28
1335154,1347423:4,We all felt it was worth it.,RESTAURANT#GENERAL,positive,,,0
717570,1448587:0,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",FOOD#QUALITY,neutral,food,food,108
737999,483111:1,The food is reliable and the price is moderate.,RESTAURANT#PRICES,neutral,,,0
571962,1016296:3,"Food was okay, nothing great.",FOOD#QUALITY,neutral,Food,Food,4
657129,1303984:3,The scallion pancakes and fried dumplings were nothing out of the ordinary.,FOOD#QUALITY,neutral,fried dumplings,fried dumplings,41
1713185,1632445:5,"Even though its good seafood, the prices are too high.",RESTAURANT#PRICES,negative,,,0
1572033,1710746:3,"But, they were too big for the bun.",FOOD#STYLE_OPTIONS,negative,,,0
1367358,1448587:0,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",FOOD#QUALITY,neutral,food,food,108
1126886,1241906:1,Prices are in line.,RESTAURANT#PRICES,neutral,,,0
430342,1707741:2,The food was average or above including some surprising tasty dishes.,FOOD#QUALITY,positive,food,food,8
1496707,1338124:0,"This is some really good, inexpensive sushi.",FOOD#PRICES,positive,sushi,sushi,43
1664346,1016296:0,I was very disappointed with this restaurant.,RESTAURANT#GENERAL,negative,restaurant,restaurant,44
608500,378848:2,I'm sure I'll return for a final judgement tho.,RESTAURANT#GENERAL,neutral,,,0
509227,630914:0,The food was actually aweful.,FOOD#QUALITY,negative,food,food,8
1417496,1303984:1,My chow fun and chow see was really bland and oily.,FOOD#QUALITY,negative,chow fun and chow see,chow fun and chow see,24
511290,445960:3,"The food is good, especially their more basic dishes, and the drinks are delicious.",FOOD#QUALITY,positive,food,food,8
1119578,1398844:3,Slightly above average wines start at $70+ with only one selection listed at $30+.,DRINKS#PRICES,negative,wines,wines,28
1476493,1145510:1,The pizza is yummy and I like the atmoshpere.,AMBIENCE#GENERAL,positive,atmoshpere,atmoshpere,44
503807,404464:2,"The entree was bland and small, dessert was not inspired.",FOOD#STYLE_OPTIONS,negative,entree,entree,10
754495,509227:3,"Rao is a good restaurant, but it's nothing special.",RESTAURANT#GENERAL,neutral,Rao,Rao,3
507844,521916:0,"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",FOOD#QUALITY,neutral,Appetizers,Appetizers,44
713152,1586174:5,"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ",FOOD#QUALITY,negative,rice,rice,112
1661043,1448587:1,The menu is very limited - i think we counted 4 or 5 entrees.,FOOD#STYLE_OPTIONS,negative,menu,menu,8
404464,759781:0,"I went to Areo on a Sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.",RESTAURANT#GENERAL,positive,Areo,Areo,14
1470334,1660047:4,"We did tip, I guess the model/waitress just wanted more and complained to the manager.",SERVICE#GENERAL,negative,waitress,waitress,38
1459569,1710746:6,I had a huge pastrami sandwich on a roll.,FOOD#STYLE_OPTIONS,neutral,pastrami sandwich on a roll,pastrami sandwich on a roll,40
1713185,1572033:2,This place is always packed.,AMBIENCE#GENERAL,neutral,place,place,10
740923,1448587:3,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",AMBIENCE#GENERAL,neutral,decor,decor,9
528251,1726473:0,"Average to good Thai food, but terrible delivery.",SERVICE#GENERAL,negative,delivery,delivery,48
1496707,1476493:0,I thought this place was totally overrated.,RESTAURANT#GENERAL,negative,place,place,20
1138996,433878:0,This is a nice pizza place with good selection of thin crust pizza including the Basil slice.,FOOD#QUALITY,positive,selection of thin crust pizza,selection of thin crust pizza,66
709294,483111:1,The food is reliable and the price is moderate.,RESTAURANT#PRICES,neutral,,,0
1702257,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,FOOD#QUALITY,positive,Prix Fixe menu,Prix Fixe menu,18
872763,505535:1,"the pad se ew chicken was delicious, however the pad thai was far too oily.",FOOD#QUALITY,positive,pad se ew chicken,pad se ew chicken,21
1280166,1476493:1,Everything we had was good or ok....but definitely nothing great.,FOOD#QUALITY,neutral,,,0
553097,1394712:1,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,FOOD#QUALITY,negative,beef and noodle soup dishes,beef and noodle soup dishes,43
1300636,624715:4,"Just straight up cheap, good food.",FOOD#PRICES,positive,food,food,33
720418,1286916:3,It's simply the best meal in NYC.,FOOD#QUALITY,positive,meal,meal,25
1016296,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,SERVICE#GENERAL,negative,cart attendant,cart attendant,26
498657,1167434:6,"they were dry and disgusting, i didn't even finish my first piece.",FOOD#QUALITY,negative,,,0
1723402,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",FOOD#QUALITY,negative,crust,crust,127
475298,1486041:1,The owner and staff are all Japanese as well and that adds to the entire ambiance.,RESTAURANT#MISCELLANEOUS,positive,owner,owner,9
758263,1470334:2,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",FOOD#QUALITY,positive,bagels,bagels,10
1387314,1726001:1,"The freshest, best variety, and the fastest delivery.",FOOD#QUALITY,positive,,,0
1730447,1353599:4,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,RESTAURANT#MISCELLANEOUS,neutral,place,place,21
1609375,1632445:4,The only fallback on this restaurant is the prices.,RESTAURANT#PRICES,negative,restaurant,restaurant,36
475298,1352948:2,"You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.",FOOD#QUALITY,positive,,,0
507844,1349391:0,sometimes i get good food and ok service.,SERVICE#GENERAL,neutral,service,service,40
571962,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",RESTAURANT#GENERAL,negative,,,0
536919,1661043:2,You should pass on the calamari.,FOOD#QUALITY,negative,calamari,calamari,31
1300636,1439875:5,Please be aware that it's CASH or AMEX only!,RESTAURANT#MISCELLANEOUS,neutral,,,0
1615322,1626564:4,Love YUKA.,RESTAURANT#GENERAL,positive,YUKA,YUKA,9
1199292,872763:4,There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.,SERVICE#GENERAL,negative,delivery guys,delivery guys,62
1227999,433878:4,They charge different prices all the time.,SERVICE#GENERAL,negative,,,0
1352948,610611:1,"stick with the chicken, beef, and lamb dishes.",FOOD#QUALITY,positive,lamb dishes,lamb dishes,45
1615322,615180:2,It just wasn't Thai.,FOOD#QUALITY,negative,,,0
1710746,1606837:1,With the theater 2 blocks away we had a delicious meal in a beautiful room.,LOCATION#GENERAL,positive,,,0
1390357,454704:1,The service is awful.,SERVICE#GENERAL,negative,service,service,11
1642666,535171:2,"A cool bar with great food, and tons of excellent beer.",DRINKS#STYLE_OPTIONS,positive,beer,beer,54
1131595,1726473:3,A Thai restaurant out of rice during dinner?,RESTAURANT#MISCELLANEOUS,negative,Thai restaurant,Thai restaurant,17
1125284,1586174:4,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",FOOD#STYLE_OPTIONS,negative,menu,menu,12
1014458,1280179:1,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ",SERVICE#GENERAL,neutral,Service,Service,21
1102681,1586174:4,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ",FOOD#STYLE_OPTIONS,negative,rice,rice,74
378848,1615322:4,The seats are uncomfortable if you are sitting against the wall on wooden benches.,AMBIENCE#GENERAL,negative,seats,seats,9
1335154,1470286:2,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",FOOD#QUALITY,positive,sushi,sushi,68
1543345,1367358:3,"Ambience is delightful, service impeccable.",AMBIENCE#GENERAL,positive,Ambience,Ambience,8
1719567,426930:2,The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,FOOD#QUALITY,positive,cold appetizer dishes,cold appetizer dishes,25
536919,1058221:2,the food is decent.,FOOD#QUALITY,neutral,food,food,8
449802,1347423:3,"Yes, the prices are high, but I felt it was worth it.",RESTAURANT#PRICES,negative,,,0
1125006,519425:1,The baked clams octopus we shared as appetizers were the best we've ever had!! ,FOOD#QUALITY,positive,baked clams octopus,baked clams octopus,23
1394712,1175958:3,I have been going there since it opened and I can't get enough.,RESTAURANT#GENERAL,positive,,,0
737999,754495:2,The food is okay and the prices here are mediocre.,RESTAURANT#PRICES,neutral,,,0
1189674,1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,FOOD#QUALITY,positive,bagels,bagels,62
1460715,1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,SERVICE#GENERAL,negative,,,0
512925,746254:3,"We left, never to return.",RESTAURANT#GENERAL,negative,,,0
1506491,521916:0,"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",FOOD#QUALITY,neutral,Appetizers,Appetizers,44
1723402,571962:2,Good drink.,DRINKS#QUALITY,positive,drink,drink,10
1702257,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",AMBIENCE#GENERAL,neutral,,,0
455623,751493:0,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,FOOD#QUALITY,negative,food,food,121
1623276,1303984:3,The scallion pancakes and fried dumplings were nothing out of the ordinary.,FOOD#QUALITY,neutral,fried dumplings,fried dumplings,41
1649025,1126814:3,Decent wine at reasonable prices.,DRINKS#QUALITY,neutral,wine,wine,11
630914,1357554:4,It's a nice place to relax and have conversation.,AMBIENCE#GENERAL,positive,place,place,17
1297844,1710746:7,It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,FOOD#PRICES,neutral,,,0
620892,720620:3,This dish is my favorite and I always get it when I go there and never get tired of it.,FOOD#QUALITY,positive,dish,dish,9
958809,1713185:1,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.",FOOD#QUALITY,negative,spice,spice,103
1289424,527109:4,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",RESTAURANT#PRICES,neutral,,,0
1086478,1232468:2,"Inside is a little cramped, but to be expected.",AMBIENCE#GENERAL,neutral,,,0
519425,436868:3,"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.",AMBIENCE#GENERAL,negative,room,room,131
485966,455623:1,I will be out with friends and all of a sudden I am hungry and I only crave one thing... their Pizza.,FOOD#QUALITY,positive,Pizza,Pizza,100
624715,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",FOOD#QUALITY,neutral,food,food,27
561054,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#STYLE_OPTIONS,neutral,rolls,rolls,11
1490757,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD#QUALITY,positive,cheeseburger,cheeseburger,51
1014458,632121:4,"If only they delivered, they'd make a mint!",RESTAURANT#MISCELLANEOUS,neutral,,,0
426930,509227:3,"Rao is a good restaurant, but it's nothing special.",RESTAURANT#GENERAL,neutral,Rao,Rao,3
657129,1713185:0,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",AMBIENCE#GENERAL,positive,place,place,10
1470286,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",FOOD#QUALITY,positive,specials,specials,103
512925,1661757:3,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",SERVICE#GENERAL,neutral,,,0
485026,509227:3,"Rao is a good restaurant, but it's nothing special.",RESTAURANT#GENERAL,neutral,Rao,Rao,3
464342,630914:2,"The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.",FOOD#QUALITY,negative,seabass,seabass,66
1086478,1707201:3,but the service was a bit slow.,SERVICE#GENERAL,negative,service,service,15
1303888,455623:1,I will be out with friends and all of a sudden I am hungry and I only crave one thing... their Pizza.,FOOD#QUALITY,positive,Pizza,Pizza,100
426930,1131595:2,The hostess is rude to the point of being offensive.,SERVICE#GENERAL,negative,hostess,hostess,11
1615322,1340075:4,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",FOOD#PRICES,positive,congee,congee,51
1586174,436868:2,"The sandwiches are dry, tasteless and way overpriced.",FOOD#QUALITY,negative,sandwiches,sandwiches,14
475512,553097:4,But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.,FOOD#QUALITY,negative,tiramisu,tiramisu,49
578016,1486041:2,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",FOOD#STYLE_OPTIONS,negative,menu,menu,31
1496205,1380450:2,Service was also horrible and the ambience is not that great.,SERVICE#GENERAL,negative,Service,Service,7
535171,485026:0,"For authentic Thai food, look no further than Toons.",FOOD#QUALITY,positive,Thai food,Thai food,23
1661757,1253117:3,"Also, because it is so thin, it gets cold very quickly and its not that filling.",FOOD#STYLE_OPTIONS,negative,,,0
758263,1448587:0,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",FOOD#QUALITY,negative,lemon salad,lemon salad,37
521916,1340075:1,"They have it all -- great price, food, and service.",SERVICE#GENERAL,positive,service,service,50
1671113,1706644:3,"My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.",FOOD#QUALITY,neutral,dim sum,dim sum,89
1147082,872763:2,Personal pans are the perfect size for those hungry nights.,FOOD#STYLE_OPTIONS,positive,Personal pans,Personal pans,13
1500453,1154550:1,The place is small and cramped but the food is fantastic.,FOOD#QUALITY,positive,food,food,43
1439875,1398844:3,Slightly above average wines start at $70+ with only one selection listed at $30+.,DRINKS#PRICES,negative,wines,wines,28
1459569,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",FOOD#QUALITY,positive,oysters,oysters,27
1663111,1308557:1,"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",FOOD#QUALITY,negative,tuna,tuna,77
657129,632121:4,"If only they delivered, they'd make a mint!",RESTAURANT#MISCELLANEOUS,neutral,,,0
1723402,507937:2,Spreads and toppings are great - though a bit pricey.,FOOD#PRICES,negative,Spreads,Spreads,7
490565,1748839:0,The food was mediocre at best but it was the horrible service that made me vow never to go back.,SERVICE#GENERAL,negative,service,service,61
758263,1338124:4,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",FOOD#PRICES,negative,all you can eat deal,all you can eat deal,50
1586174,565344:1,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,RESTAURANT#GENERAL,positive,place,place,17
1746113,1496707:4,A little noise but I think that was because of our party!,AMBIENCE#GENERAL,neutral,,,0
1662726,1500453:2,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",FOOD#QUALITY,positive,specials,specials,41
1153034,433878:4,They charge different prices all the time.,SERVICE#GENERAL,negative,,,0
1451109,498657:1,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,FOOD#STYLE_OPTIONS,negative,,,0
1280179,493013:5,I will go back to Suan soon!,RESTAURANT#GENERAL,positive,Suan,Suan,22
682391,1661757:2,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",FOOD#QUALITY,positive,food,food,84
1632445,1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,AMBIENCE#GENERAL,positive,Traditional French decour,Traditional French decour,25
475512,1347423:1,"The staff was accomodating, the food was absolutely delicious and the place is lovely.",FOOD#QUALITY,positive,food,food,36
461928,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,FOOD#QUALITY,negative,pork shu mai,pork shu mai,30
1055910,1398844:2,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",FOOD#STYLE_OPTIONS,neutral,menu,menu,46
1476493,757762:0,Baluchi's has solid food and a nice decor at reasonable prices.,RESTAURANT#PRICES,positive,Baluchi's,Baluchi's,9
483111,464342:2,Be sure not to get anything other than bagels!..,FOOD#QUALITY,positive,bagels,bagels,45
1126814,1663111:3,this is can became on e of the NY Italian Food fare institutions.,RESTAURANT#GENERAL,positive,,,0
754495,1147211:0,This place is great.,RESTAURANT#GENERAL,positive,place,place,10
1280166,553097:1,Too bad the food wasn't of the same heritage.,FOOD#QUALITY,negative,food,food,16
397331,541532:2,"Food was very good, but not what I would consider out of this world.",FOOD#QUALITY,neutral,Food,Food,4
1387314,1713185:0,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",AMBIENCE#GENERAL,positive,place,place,10
